Atlanta Airport: 33.642520, -84.427782
LAX: 33.941874, -118.408551
Seoul, South Korea: 37.460455, 126.440696
Bangkok, Thailand: 13.690260, 100.750112
Saphapae Guesthouse, Bangkok: 13.720789177107395, 100.51974982023239
Chiang Mai Airport: 18.767993, 98.964073
Rustic Guesthouse, Chiang Mai: 18.791277, 98.999004
Ing Doi Guesthouse, Pai: 19.356071, 98.448678
Kamala Guesthouse: 18.792828, 98.994831
BaanChang Elephant Park: 18.788231,98.986188
Luang Prabang International Airport: 19.897616, 102.163429
Villa Merry Laos III, Luang Prabang: 19.889343, 102.138074
Libery Guesthouse, Luang Prabang: 19.884558, 102.131900
Malany Guesthouse, Vang Vieng: 18.925134, 102.449693
Indochina Legend 2, Hanoi, Vietnam: 21.031788, 105.854714
Ha Long Bay, Vietnam: 20.860800, 107.147545
Sapa, Vietname: 22.336338, 103.844061
